air_date,content_duration_sec,promo_duration_sec,ad_duration_sec,content_start_time,content_end_time,channel_id,slot_id,slot_desc,dow_id,dow_code,content_tape_id,content_id,tape_name,tape_duration_sec,content_name,content_tape_detail_id,content_tape_id,content_tape_detail_name,tape_duration_sec,part_no,segment_no,tape_id
2019-06-01 00:00:00.000,7740,336.5217391,2019.130435,12:10:30.0000000,14:58:45.0000000,1,44,Dopahar 1,1,SAT,3629,497,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,7740,SHAADI MEIN ZAROOR AANA,12214,3629,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,732,1,5,517958
2019-06-01 00:00:00.000,7740,336.5217391,2019.130435,12:10:30.0000000,14:58:45.0000000,1,44,Dopahar 1,1,SAT,3629,497,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,7740,SHAADI MEIN ZAROOR AANA,12215,3629,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,742,1,6,517958
2019-06-01 00:00:00.000,7740,336.5217391,2019.130435,12:10:30.0000000,14:58:45.0000000,1,44,Dopahar 1,1,SAT,3629,497,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,7740,SHAADI MEIN ZAROOR AANA,12216,3629,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,705,1,7,517958
2019-06-01 00:00:00.000,7740,336.5217391,2019.130435,12:10:30.0000000,14:58:45.0000000,1,44,Dopahar 1,1,SAT,3629,497,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,7740,SHAADI MEIN ZAROOR AANA,12217,3629,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,754,1,8,517958
2019-06-01 00:00:00.000,7740,336.5217391,2019.130435,12:10:30.0000000,14:58:45.0000000,1,44,Dopahar 1,1,SAT,3629,497,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,7740,SHAADI MEIN ZAROOR AANA,12218,3629,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,562,1,9,517958
2019-06-01 00:00:00.000,7740,336.5217391,2019.130435,12:10:30.0000000,14:58:45.0000000,1,44,Dopahar 1,1,SAT,3629,497,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,7740,SHAADI MEIN ZAROOR AANA,12219,3629,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,654,1,10,517958
2019-06-01 00:00:00.000,9144.52,397.5878261,2385.526957,14:58:45.0000000,18:17:32.0000000,1,45,Dopahar 2,1,SAT,9140,1026,ZCN LAADLA ( V/U CUTS-NEW COPY ),9144.52,LAADLA,29043,9140,ZCN LAADLA ( V/U CUTS-NEW COPY ),968.84,1,1,513947
2019-06-01 00:00:00.000,9144.52,397.5878261,2385.526957,14:58:45.0000000,18:17:32.0000000,1,45,Dopahar 2,1,SAT,9140,1026,ZCN LAADLA ( V/U CUTS-NEW COPY ),9144.52,LAADLA,29044,9140,ZCN LAADLA ( V/U CUTS-NEW COPY ),1012.04,1,2,513947
2019-06-01 00:00:00.000,9144.52,397.5878261,2385.526957,14:58:45.0000000,18:17:32.0000000,1,45,Dopahar 2,1,SAT,9140,1026,ZCN LAADLA ( V/U CUTS-NEW COPY ),9144.52,LAADLA,29045,9140,ZCN LAADLA ( V/U CUTS-NEW COPY ),1049.88,1,3,513947
2019-06-01 00:00:00.000,9144.52,397.5878261,2385.526957,14:58:45.0000000,18:17:32.0000000,1,45,Dopahar 2,1,SAT,9140,1026,ZCN LAADLA ( V/U CUTS-NEW COPY ),9144.52,LAADLA,29046,9140,ZCN LAADLA ( V/U CUTS-NEW COPY ),926.72,1,4,513947
