schedule_detail_id,air_date,channel_id,channel_name,content_id,content_tape_id,tape_name,content_name,content_start_time,content_end_time,content_duration_sec,ad_duration_sec,promo_duration_sec,total_duration_sec,ad_duration,promo_duration,slot_name
71315,2019-06-30 00:00:00.000,1,Zee Cinema,-1,-1,PLACE HOLDER,PLACE HOLDER,00:14:20.0000000,02:00:00.0000000,6340,0,0,6340,12,2,Der Raat
71308,2019-06-30 00:00:00.000,1,Zee Cinema,-1,-1,PLACE HOLDER,PLACE HOLDER,02:00:00.0000000,07:11:44.0000000,18580.43478,0,0,18580.43478,12,2,Dead Band
71309,2019-06-30 00:00:00.000,1,Zee Cinema,-1,-1,PLACE HOLDER,PLACE HOLDER,07:11:44.0000000,08:21:24.0000000,4180.434783,0,0,4180.434783,12,2,Subah 1
71310,2019-06-30 00:00:00.000,1,Zee Cinema,1562,13202,Zcn Bhagam Bhag (U - Govinda),BHAGAM BHAG,08:21:24.0000000,11:38:14.0000000,9055,2362.173913,393.6956522,11810.86957,12,2,Subah 2
71311,2019-06-30 00:00:00.000,1,Zee Cinema,923,7880,ZCN HUM SAATH SAATH HAIN (U-EDITED VERSI,HUM SAATH SAATH HAIN,11:38:14.0000000,15:18:25.0000000,10128.56,2642.233043,440.3721739,13211.16522,12,2,Dopahar 1
71312,2019-06-30 00:00:00.000,1,Zee Cinema,487,3519,ZCN MAIN TERA HERO(U/A-EDIT VER)ZCN COPY,MAIN TERA HERO,15:18:25.0000000,17:56:21.0000000,7265.6,1895.373913,315.8956522,9476.869565,12,2,Dopahar 2
71313,2019-06-30 00:00:00.000,1,Zee Cinema,862,7094,ZCN WELCOME BACK(U/A-EDITED-WITH COMING,WELCOME BACK,17:56:21.0000000,21:00:00.0000000,8448,2203.826087,367.3043478,11019.13043,12,2,Shaam
71314,2019-06-30 00:00:00.000,1,Zee Cinema,542,3999,ZCN PHIR HERA PHERI (U-EDITED VERSION),PHIR HERA PHERI,21:00:00.0000000,00:14:20.0000000,8940,2332.173913,388.6956522,11660.86957,12,2,Raat
