schedule_detail_id,air_date,channel_id,channel_name,content_id,content_tape_id,tape_name,content_name,content_start_time,content_end_time,content_duration_sec,ad_duration_sec,promo_duration_sec,total_duration_sec,ad_duration,promo_duration,slot_name
103017,2019-08-11 00:00:00.000,4,&pictures,-1,-1,PLACE HOLDER,PLACE HOLDER,02:00:00.0000000,04:38:29.0000000,9509,0,0,9509,0,0,Dead Band
103030,2019-08-11 00:00:00.000,4,&pictures,1426,12593,ZCN THE REAL TIGER 2(V/U-SHORTER-HINDI D,THE REAL TIGER 2,04:38:29.0000000,07:22:18.0000000,7536,1965.913043,327.6521739,9829.565217,12,2,Subah 1
103031,2019-08-11 00:00:00.000,4,&pictures,874,7287,ZCN JIGARWALA NO 1(V/UA-EDITED VERSION),JIGARWALA NO.1,07:22:18.0000000,10:28:17.0000000,8555.52,2231.874783,371.9791304,11159.37391,12,2,Subah 2
103032,2019-08-11 00:00:00.000,4,&pictures,1324,12111,ZCN A FLYING JATT (U/A-TIGER SHORFF ),A Flying Jatt,10:28:17.0000000,13:34:14.0000000,8554,2231.478261,371.9130435,11157.3913,12,2,Dopahar 1
103033,2019-08-11 00:00:00.000,4,&pictures,1019,9014,ZCN AITRAAZ (U/A-EDITED VERSION)AKSHAY K,AITRAAZ,13:34:14.0000000,16:48:09.0000000,8920.6,2327.113043,387.8521739,11635.56522,12,2,Dopahar 2
103034,2019-08-11 00:00:00.000,4,&pictures,1009,8885,ZCN CHENNAI V/S CHINA(V/U-EDITED VERSION,CHENNAI V/S CHINA,16:48:09.0000000,20:00:00.0000000,8825.52,2302.309565,383.7182609,11511.54783,12,2,Shaam
103035,2019-08-11 00:00:00.000,4,&pictures,497,3629,ZCN SHAADI MEIN ZAROOR AANA ( U-RAJKUMAR,SHAADI MEIN ZAROOR AANA,20:00:00.0000000,22:48:15.0000000,7740,2019.130435,336.5217391,10095.65217,12,2,Raat
103036,2019-08-11 00:00:00.000,4,&pictures,183,1087,ZCN BADLAPUR(U/A-EDITED VERSION)VARUN D,BADLAPUR - DONT MISS THE BEGINNING,22:48:15.0000000,01:23:58.0000000,7163.6,1868.765217,311.4608696,9343.826087,12,2,Der Raat
