schedule_detail_id,air_date,channel_id,channel_name,content_id,content_tape_id,tape_name,content_name,content_start_time,content_end_time,content_duration_sec,ad_duration_sec,promo_duration_sec,total_duration_sec,ad_duration,promo_duration,slot_name
100716,2019-08-02 00:00:00.000,1,Zee Cinema,-1,-1,PLACE HOLDER,PLACE HOLDER,01:35:13.0000000,03:35:13.0000000,7200,0,0,7200,12,2,Der Raat
100709,2019-08-02 00:00:00.000,1,Zee Cinema,-1,-1,PLACE HOLDER,PLACE HOLDER,02:00:00.0000000,08:42:42.0000000,24159.13043,0,0,24159.13043,12,2,Dead Band
100710,2019-08-02 00:00:00.000,1,Zee Cinema,1665,13374,ZCN ACTION MAN ARJUN(U-SHORT VER),ACTION MAN ARJUN,08:42:42.0000000,10:44:02.0000000,5582,1456.173913,242.6956522,7280.869565,12,2,Subah 1
100711,2019-08-02 00:00:00.000,1,Zee Cinema,68,357,ZCN POLICE AUR TIGER (V/U-EDITED - SIBI),POLICE AUR TIGER,10:44:02.0000000,12:54:49.0000000,6016.64,1569.558261,261.5930435,7847.791304,12,2,Subah 2
100712,2019-08-02 00:00:00.000,1,Zee Cinema,2751,17772,BINDASS RANI (V/UA-NAYANTRA),BINDAAS RANI,12:54:49.0000000,15:39:09.0000000,7560,1972.173913,328.6956522,9860.869565,12,2,Dopahar 1
100713,2019-08-02 00:00:00.000,1,Zee Cinema,395,2625,Zcn Raees (Ua - Shahrukh Khan) Clean,RAEES,15:39:09.0000000,18:33:55.0000000,8040,2097.391304,349.5652174,10486.95652,12,2,Dopahar 2
100714,2019-08-02 00:00:00.000,1,Zee Cinema,3788,17749,Keher Ek  Raat,KAHER EK RAAT,18:33:55.0000000,21:00:00.0000000,6720,1753.043478,292.173913,8765.217391,12,2,Shaam
100715,2019-08-02 00:00:00.000,1,Zee Cinema,964,8311,ZCN LAGAAN (U-EDITED VERSION)AAMIR-ZCN,LAGAAN,21:00:00.0000000,01:35:13.0000000,12660,3302.608696,550.4347826,16513.04348,12,2,Raat
