schedule_detail_id,content_tape_detail_id,content_tape_id,segment_no,tape_duration_sec,break_sec,promo_sec
70299,31224.0,9916.0,1.0,691.64,420.0,0
70299,31225.0,9916.0,2.0,639.8,0.0,0
70299,31226.0,9916.0,3.0,750.92,420.0,0
70299,31227.0,9916.0,4.0,597.88,0.0,0
70299,31228.0,9916.0,5.0,703.16,420.0,0
70299,31229.0,9916.0,6.0,716.04,420.0,0
70299,31230.0,9916.0,7.0,654.2,0.0,0
70299,31231.0,9916.0,8.0,590.64,0.0,0
70299,31232.0,9916.0,9.0,595.36,161.0,0
70299,31233.0,9916.0,10.0,665.44,161.0,0
70300,37817.0,12124.0,1.0,686.0,259.0,0
70300,37818.0,12124.0,2.0,753.0,259.0,0
70300,37819.0,12124.0,3.0,763.0,420.0,0
70300,37820.0,12124.0,4.0,613.0,420.0,0
70300,37821.0,12124.0,5.0,955.0,0.0,0
70300,37822.0,12124.0,6.0,652.0,0.0,0
70300,37826.0,12124.0,10.0,786.0,420.0,0
70300,37823.0,12124.0,7.0,732.0,420.0,0
70300,37824.0,12124.0,8.0,763.0,0.0,0
70300,37825.0,12124.0,9.0,772.0,69.99999999999999,0
70301,42171.0,13193.0,1.0,792.0,384.99999999999994,0
70301,42172.0,13193.0,2.0,732.0,384.99999999999994,0
70301,42173.0,13193.0,3.0,774.0,0.0,0
70301,42174.0,13193.0,4.0,676.0,420.0,0
70301,42175.0,13193.0,5.0,963.0,420.0,0
70301,42176.0,13193.0,6.0,987.0,0.0,0
70301,42177.0,13193.0,7.0,859.0,420.0,0
70301,42178.0,13193.0,8.0,797.0,0.0,0
70301,42179.0,13193.0,9.0,698.0,0.0,0
70301,42180.0,13193.0,10.0,602.0,420.0,0
70301,42181.0,13193.0,11.0,795.0,168.00000000000003,0
70301,42182.0,13193.0,12.0,496.0,168.00000000000003,0
70303,33265.0,10701.0,11.0,872.96,322.0,0
70303,33266.0,10701.0,12.0,683.96,0.0,0
70303,33267.0,10701.0,13.0,586.96,420.0,0
70303,33255.0,10701.0,1.0,932.96,420.0,0
70303,33256.0,10701.0,2.0,804.96,420.0,0
70303,33257.0,10701.0,3.0,663.96,0.0,0
70303,33258.0,10701.0,4.0,677.96,420.0,0
70303,33259.0,10701.0,5.0,661.96,0.0,0
70303,33260.0,10701.0,6.0,676.96,420.0,0
70303,33261.0,10701.0,7.0,662.96,0.0,0
70303,33262.0,10701.0,8.0,632.96,420.0,0
70303,33263.0,10701.0,9.0,687.96,0.0,0
70303,33264.0,10701.0,10.0,748.96,0.0,0
70304,8243.0,2390.0,1.0,871.0,420.0,0
70304,8244.0,2390.0,2.0,1195.64,420.0,0
70304,8245.0,2390.0,3.0,1027.84,420.0,0
70304,8246.0,2390.0,4.0,933.48,420.0,0
70304,8247.0,2390.0,5.0,1078.8,0.0,0
70304,8248.0,2390.0,6.0,963.64,0.0,0
70304,8249.0,2390.0,7.0,922.92,357.0,0
70304,8250.0,2390.0,8.0,883.8,357.0,0
70305,31902.0,10206.0,1.0,719.96,0.0,0
70305,31903.0,10206.0,2.0,636.96,0.0,0
70305,31904.0,10206.0,3.0,882.96,420.0,0
70305,31905.0,10206.0,4.0,706.96,420.0,0
70305,31906.0,10206.0,5.0,767.96,420.0,0
70305,31907.0,10206.0,6.0,657.96,0.0,0
70305,31908.0,10206.0,7.0,630.96,126.0,0
70305,31909.0,10206.0,8.0,736.96,420.0,0
70305,31910.0,10206.0,9.0,790.96,182.0,0
70306,10779.0,3157.0,1.0,836.96,293.99999999999994,0
70306,10780.0,3157.0,2.0,852.96,293.99999999999994,0
70306,10781.0,3157.0,3.0,723.96,420.0,0
70306,10782.0,3157.0,4.0,822.96,420.0,0
70306,10783.0,3157.0,5.0,666.96,0.0,0
70306,10784.0,3157.0,6.0,626.96,0.0,0
70306,10785.0,3157.0,7.0,676.96,420.0,0
70306,10786.0,3157.0,8.0,710.96,420.0,0
70306,10787.0,3157.0,9.0,745.96,0.0,0
70306,10788.0,3157.0,10.0,835.96,182.0,0
70306,10789.0,3157.0,11.0,582.96,0.0,0
70307,34764.0,11223.0,1.0,631.0,0.0,0
70307,34765.0,11223.0,2.0,614.0,329.0,0
70307,34766.0,11223.0,3.0,697.0,329.0,0
70307,34767.0,11223.0,4.0,684.0,420.0,0
70307,34768.0,11223.0,5.0,726.0,420.0,0
70307,34769.0,11223.0,6.0,691.0,0.0,0
70307,34770.0,11223.0,7.0,852.0,252.0,0
70307,34771.0,11223.0,8.0,892.0,252.0,0
70307,34772.0,11223.0,9.0,758.0,0.0,0
70308,28533.0,8921.0,1.0,618.96,336.00000000000006,0
70308,28534.0,8921.0,2.0,621.96,420.0,0
70308,28535.0,8921.0,3.0,631.96,0.0,0
70308,28536.0,8921.0,4.0,608.96,0.0,0
70308,28537.0,8921.0,5.0,797.96,420.0,0
70308,28538.0,8921.0,6.0,767.96,420.0,0
70308,28543.0,8921.0,11.0,749.96,420.0,0
70308,28539.0,8921.0,7.0,841.96,0.0,0
70308,28540.0,8921.0,8.0,656.96,0.0,0
70308,28541.0,8921.0,9.0,847.96,168.00000000000003,0
70308,28542.0,8921.0,10.0,620.96,168.00000000000003,0
70309,15198.0,4492.0,1.0,784.96,504.0,0
70309,15199.0,4492.0,2.0,850.96,0.0,0
70309,15200.0,4492.0,3.0,609.96,0.0,0
70309,15201.0,4492.0,4.0,583.96,0.0,0
70309,15202.0,4492.0,5.0,670.96,420.0,0
70309,15203.0,4492.0,6.0,716.96,420.0,0
70309,15204.0,4492.0,7.0,939.96,0.0,0
70309,15205.0,4492.0,8.0,574.96,420.0,0
70309,15206.0,4492.0,9.0,826.96,420.0,0
70309,15207.0,4492.0,10.0,759.96,420.0,0
70309,15208.0,4492.0,11.0,915.96,0.0,0
70309,15209.0,4492.0,12.0,828.96,420.0,0
70309,15210.0,4492.0,13.0,1006.96,42.00000000000001,0
70310,20828.0,6127.0,1.0,699.96,398.99999999999994,0
70310,20829.0,6127.0,2.0,728.96,0.0,0
70310,20830.0,6127.0,3.0,695.96,398.99999999999994,0
70310,20831.0,6127.0,4.0,632.96,420.0,0
70310,20832.0,6127.0,5.0,733.96,420.0,0
70310,20833.0,6127.0,6.0,663.96,0.0,0
70310,20834.0,6127.0,7.0,743.96,0.0,0
70310,20835.0,6127.0,8.0,694.96,420.0,0
70310,20838.0,6127.0,11.0,813.96,0.0,0
70310,20836.0,6127.0,9.0,833.96,420.0,0
70310,20837.0,6127.0,10.0,865.96,0.0,0
70311,42965.0,13370.0,1.0,719.0,420.0,0
70311,42966.0,13370.0,2.0,657.0,420.0,0
70311,42967.0,13370.0,3.0,741.0,0.0,0
70311,42968.0,13370.0,4.0,803.0,0.0,0
70311,42969.0,13370.0,5.0,654.0,0.0,0
70311,42970.0,13370.0,6.0,687.0,420.0,0
70311,42971.0,13370.0,7.0,700.0,420.0,0
70311,42972.0,13370.0,8.0,592.0,0.0,0
70311,42973.0,13370.0,9.0,950.0,273.0,0
70311,42974.0,13370.0,10.0,824.0,273.0,0
70312,22698.0,6694.0,1.0,885.96,293.99999999999994,0
70312,22699.0,6694.0,2.0,918.96,0.0,0
70312,22700.0,6694.0,3.0,807.96,420.0,0
70312,22701.0,6694.0,4.0,680.96,420.0,0
70312,22702.0,6694.0,5.0,630.96,0.0,0
70312,22703.0,6694.0,6.0,594.96,420.0,0
70312,22704.0,6694.0,7.0,690.96,0.0,0
