air_date,schedule_detail_id,content_tape_detail_id,content_tape_id,segment_no,segment_duration_sec,Reach,slot_id,AD_DURATION,PROMO_DURATION,ad_duration_sec,Time_hour,Total_Duration,start_sec,End_time,End_hour,start_time_in_time,end_time_in_time,promo_duration_sec
2019-06-01,69179,34764.0,11223.0,1.0,631.0,0.08314999999999997,42,720.0,120.0,0.0,6.0,631.0,22224.0,22855.0,6.0,06:10:24,06:20:55,0
2019-06-01,69179,34765.0,11223.0,2.0,614.0,0.08184999999999995,42,720.0,120.0,350.0,6.0,964.0,22855.0,23819.0,6.0,06:20:55,06:36:59,0
2019-06-01,69179,34766.0,11223.0,3.0,697.0,0.07539999999999994,42,720.0,120.0,350.0,6.0,1047.0,23819.0,24866.0,6.0,06:36:59,06:54:26,0
2019-06-01,69179,34767.0,11223.0,4.0,684.0,0.07614999999999995,42,720.0,120.0,420.0,6.0,1104.0,24866.0,25970.0,7.0,06:54:26,07:12:50,0
2019-06-01,69179,34768.0,11223.0,5.0,726.0,0.07634999999999993,42,720.0,120.0,420.0,7.0,1146.0,25970.0,27116.0,7.0,07:12:50,07:31:56,0
2019-06-01,69179,34769.0,11223.0,6.0,691.0,0.11465000000000013,42,720.0,120.0,0.0,7.0,691.0,27116.0,27807.0,7.0,07:31:56,07:43:27,0
2019-06-01,69179,34770.0,11223.0,7.0,852.0,0.13425000000000012,42,720.0,120.0,220.0,7.0,1072.0,27807.0,28879.0,8.0,07:43:27,08:01:19,0
2019-06-01,69179,34771.0,11223.0,8.0,892.0,0.11604999999999997,42,720.0,120.0,220.0,8.0,1112.0,28879.0,29991.0,8.0,08:01:19,08:19:51,0
2019-06-01,69179,34772.0,11223.0,9.0,758.0,0.14205000000000007,42,720.0,120.0,0.0,8.0,758.0,29991.0,30749.0,8.0,08:19:51,08:32:29,0
2019-06-01,69180,39419.0,12521.0,1.0,527.96,0.2635500000000003,43,720.0,120.0,390.0,8.0,917.96,30754.000000000004,31671.960000000003,8.0,08:32:34,08:47:51,0
2019-06-01,69180,39420.0,12521.0,2.0,755.96,0.3324000000000001,43,720.0,120.0,420.0,8.0,1175.96,31671.960000000003,32847.920000000006,9.0,08:47:51,09:07:27,0
2019-06-01,69180,39421.0,12521.0,3.0,787.96,0.29250000000000004,43,720.0,120.0,420.0,9.0,1207.96,32847.920000000006,34055.880000000005,9.0,09:07:27,09:27:35,0
2019-06-01,69180,39422.0,12521.0,4.0,919.96,0.37125000000000036,43,720.0,120.0,0.0,9.0,919.96,34055.880000000005,34975.840000000004,9.0,09:27:35,09:42:55,0
2019-06-01,69180,39423.0,12521.0,5.0,907.96,0.41430000000000056,43,720.0,120.0,0.0,9.0,907.96,34975.840000000004,35883.8,9.0,09:42:55,09:58:03,0
2019-06-01,69180,39424.0,12521.0,6.0,750.96,0.4173499999999995,43,720.0,120.0,420.0,9.0,1170.96,35883.8,37054.76,10.0,09:58:03,10:17:34,0
2019-06-01,69180,39425.0,12521.0,7.0,783.96,0.4403499999999992,43,720.0,120.0,420.0,10.0,1203.96,37054.76,38258.72,10.0,10:17:34,10:37:38,0
2019-06-01,69180,39426.0,12521.0,8.0,689.96,0.48660000000000037,43,720.0,120.0,0.0,10.0,689.96,38258.72,38948.68,10.0,10:37:38,10:49:08,0
2019-06-01,69180,39427.0,12521.0,9.0,527.96,0.5758999999999986,43,720.0,120.0,0.0,10.0,527.96,38948.68,39476.64,10.0,10:49:08,10:57:56,0
2019-06-01,69180,39428.0,12521.0,10.0,726.96,0.5758999999999993,43,720.0,120.0,380.0,10.0,1106.96,39476.64,40583.6,11.0,10:57:56,11:16:23,0
2019-06-01,69180,39429.0,12521.0,11.0,632.96,0.631749999999999,43,720.0,120.0,0.0,11.0,632.96,40583.6,41216.56,11.0,11:16:23,11:26:56,0
2019-06-01,69180,39430.0,12521.0,12.0,581.96,0.49829999999999974,43,720.0,120.0,380.0,11.0,961.96,41216.56,42178.52,11.0,11:26:56,11:42:58,0
2019-06-01,69180,39431.0,12521.0,13.0,708.96,0.5994999999999988,43,720.0,120.0,0.0,11.0,708.96,42178.52,42887.479999999996,11.0,11:42:58,11:54:47,0
2019-06-01,69181,10584.0,3100.0,1.0,742.24,0.9749499999999988,44,720.0,120.0,80.0,11.0,822.24,42888.0,43710.24,12.0,11:54:48,12:08:30,0
2019-06-01,69181,10585.0,3100.0,2.0,838.08,1.0299499999999993,44,720.0,120.0,420.0,12.0,1258.08,43710.24,44968.32,12.0,12:08:30,12:29:28,0
2019-06-01,69181,10586.0,3100.0,3.0,818.52,1.060649999999999,44,720.0,120.0,420.0,12.0,1238.52,44968.32,46206.84,12.0,12:29:28,12:50:06,0
2019-06-01,69181,10587.0,3100.0,4.0,846.64,1.1537499999999987,44,720.0,120.0,420.0,12.0,1266.6399999999999,46206.84,47473.479999999996,13.0,12:50:06,13:11:13,0
2019-06-01,69181,10588.0,3100.0,5.0,802.8,1.1325999999999998,44,720.0,120.0,420.0,13.0,1222.8,47473.479999999996,48696.28,13.0,13:11:13,13:31:36,0
2019-06-01,69181,10589.0,3100.0,6.0,877.4,1.432950000000001,44,720.0,120.0,0.0,13.0,877.4,48696.28,49573.68,13.0,13:31:36,13:46:13,0
2019-06-01,69181,10590.0,3100.0,7.0,1182.84,1.9400000000000006,44,720.0,120.0,0.0,13.0,1182.84,49573.68,50756.52,14.0,13:46:13,14:05:56,0
2019-06-01,69181,10593.0,3100.0,10.0,400.4,0.99445,44,720.0,120.0,350.0,14.0,750.4,50756.52,51506.92,14.0,14:05:56,14:18:26,0
2019-06-01,69181,10591.0,3100.0,8.0,998.48,1.8201499999999984,44,720.0,120.0,350.0,14.0,1348.48,51506.92,52855.4,14.0,14:18:26,14:40:55,0
2019-06-01,69181,10592.0,3100.0,9.0,565.44,1.1631,44,720.0,120.0,0.0,14.0,565.44,52855.4,53420.840000000004,14.0,14:40:55,14:50:20,0
2019-06-01,69182,54129.0,16555.0,1.0,931.0,1.3944000000000005,45,720.0,120.0,140.0,14.0,1071.0,53453.0,54524.0,15.0,14:50:53,15:08:44,0
2019-06-01,69182,54130.0,16555.0,2.0,868.0,1.2011000000000005,45,720.0,120.0,420.0,15.0,1288.0,54524.0,55812.0,15.0,15:08:44,15:30:12,0
2019-06-01,69182,54131.0,16555.0,3.0,725.0,0.8318999999999996,45,720.0,120.0,420.0,15.0,1145.0,55812.0,56957.0,15.0,15:30:12,15:49:17,0
2019-06-01,69182,54132.0,16555.0,4.0,876.0,0.9947999999999996,45,720.0,120.0,0.0,15.0,876.0,56957.0,57833.0,16.0,15:49:17,16:03:53,0
2019-06-01,69182,54133.0,16555.0,5.0,639.0,1.0849499999999983,45,720.0,120.0,0.0,16.0,639.0,57833.0,58472.0,16.0,16:03:53,16:14:32,0
2019-06-01,69182,54134.0,16555.0,6.0,717.0,0.7562500000000001,45,720.0,120.0,420.0,16.0,1137.0,58472.0,59609.0,16.0,16:14:32,16:33:29,0
2019-06-01,69182,54135.0,16555.0,7.0,695.0,0.875000000000001,45,720.0,120.0,0.0,16.0,695.0,59609.0,60304.0,16.0,16:33:29,16:45:04,0
2019-06-01,69182,54136.0,16555.0,8.0,615.0,0.6738999999999986,45,720.0,120.0,420.0,16.0,1035.0,60304.0,61339.0,17.0,16:45:04,17:02:19,0
2019-06-01,69182,54137.0,16555.0,9.0,535.0,0.6378499999999998,45,720.0,120.0,400.0,17.0,935.0,61339.0,62274.0,17.0,17:02:19,17:17:54,0
2019-06-01,69182,54138.0,16555.0,10.0,810.0,0.8167499999999991,45,720.0,120.0,0.0,17.0,810.0,62274.0,63084.0,17.0,17:17:54,17:31:24,0
2019-06-01,69182,54139.0,16555.0,11.0,500.0,0.5975999999999998,45,720.0,120.0,400.0,17.0,900.0,63084.0,63984.0,17.0,17:31:24,17:46:24,0
2019-06-01,69182,54140.0,16555.0,12.0,669.0,0.73615,45,720.0,120.0,0.0,17.0,669.0,63984.0,64653.0,17.0,17:46:24,17:57:33,0
2019-06-01,69183,43097.0,13393.0,1.0,1014.0,0.6480000000000002,46,720.0,120.0,40.0,17.0,1054.0,64644.00000000001,65698.0,18.0,17:57:24,18:14:58,0
2019-06-01,69183,43098.0,13393.0,2.0,803.0,0.5162499999999998,46,720.0,120.0,420.0,18.0,1223.0,65698.0,66921.0,18.0,18:14:58,18:35:21,0
2019-06-01,69183,43099.0,13393.0,3.0,951.0,0.6560500000000005,46,720.0,120.0,420.0,18.0,1371.0,66921.0,68292.0,18.0,18:35:21,18:58:12,0
